Metin,Durum,temiz_yorum,tahmin,dogru_mu
2 tane aldım 2 sinde kusurlu çıktı tavsiye etmem,0,2 tane aldım 2 sinde kusurlu çıktı tavsiye etmem,0,True
geri iade ettim param iade olunmadı kartıma parası geri yatırılmadı.,0,geri iade ettim param iade olunmadı kartıma parası geri yatırılmadı,0,True
Bespara etmez bu kadar yanlıs calısan bir akıllı sAt olamaz,0,bespara etmez kadar yanlıs calısan bir akıllı sat olamaz,0,True
urünum geldiginde calismiyordu iade ettm,0,urünum geldiginde calismiyordu iade ettm,0,True
Ürünüm bozuk lütfen yardımcı olun iade etmek istiyorum,0,ürünüm bozuk lütfen yardımcı olun iade etmek istiyorum,0,True
"çok kötü bir saatti hiç açılmadı bile, yaptığınız işin hakkını verin lütfen",0,kötü bir saatti açılmadı bile yaptığınız işin hakkını verin lütfen,0,True
ürünü iade ettik maalesef cihaz bağlantısı kesildi uyarısı veriyor,0,ürünü iade ettik maalesef cihaz bağlantısı kesildi uyarısı veriyor,0,True
arızalı birde buraya gönderin diye kod koymuşlar yalan yalnis,0,arızalı birde buraya gönderin kod koymuşlar yalan yalnis,0,True
Almanızı tavsiye etmem. Telefona bağlanmadı. Hiç bi işime yaramadı,0,almanızı tavsiye etmem telefona bağlanmadı bi işime yaramadı,0,True
Ürün pozuk çıktı bana en kısa zamanda donulmesini istiyom,0,ürün pozuk çıktı bana kısa zamanda donulmesini istiyom,0,True
Ürünün fiyatı uygun fakat ürün bozuk bi şekilde geldi yani memnun kalmadım bu durumdan,0,ürünün fiyatı uygun fakat ürün bozuk bi şekilde geldi memnun kalmadım durumdan,0,True
Hemen bozuldu böyle bişey olamaz kutusunu atmasaydım iade edecektim . Yardımlarınızı bekliyorum,0,hemen bozuldu böyle bişey olamaz kutusunu atmasaydım iade edecektim yardımlarınızı bekliyorum,0,True
almayın paraya yazık gidin 200 tl verin daha iyiyisini alın ama idare ediyor,0,almayın paraya yazık gidin 200 tl verin iyiyisini alın idare ediyor,0,True
yalan atıyorlar param daha yatmadı hesabıma almayın yemin ediyorum çok kötü,0,yalan atıyorlar param yatmadı hesabıma almayın yemin ediyorum kötü,0,True
Sakın almayın firma da ürünler de oldukça kalitesiz,0,sakın almayın firma ürünler oldukça kalitesiz,0,True
Çok kaliteli olduğunu söyleyemiycem aynı hafta içerisinde koptu Kayışları,0,kaliteli olduğunu söyleyemiycem aynı hafta içerisinde koptu kayışları,0,True
iki tane aldim ikiside 2 veya 3. sarjlarinda bozuldu,0,iki tane aldim ikiside 2 3 sarjlarinda bozuldu,0,True
Ürün telefonla eşleşmedi işimize yaramadı geri iade etmek zorunda kaldık,0,ürün telefonla eşleşmedi işimize yaramadı geri iade etmek zorunda kaldık,0,True
Ürün şarj almıyor.Dokunmatigi kalitesiz ve ürün kullanışlı değil.,0,ürün şarj almıyordokunmatigi kalitesiz ürün kullanışlı değil,0,True
Çok kötü başka bir siteden alın telefona bağlanmıyor ve ekranı çıkıyor,0,kötü başka bir siteden alın telefona bağlanmıyor ekranı çıkıyor,0,True
ürünler çok kalitesiz çıktı maalesef hiç bir ayarı olmuyor aldığıma pisman oldum,0,ürünler kalitesiz çıktı maalesef bir ayarı olmuyor aldığıma pisman oldum,0,True
Ürünü Kullanma klavuzuda yazan bütün talimatları uyguladığım halde bir türlü telefonuma bağlayamadım.,0,ürünü kullanma klavuzuda yazan bütün talimatları uyguladığım halde bir türlü telefonuma bağlayamadım,0,True
Ana gövde kayışa yerleştirildiği an ön yüz atıyor son derece kalitesiz bir ürün iade ediyorum,0,ana gövde kayışa yerleştirildiği an ön yüz atıyor son derece kalitesiz bir ürün iade ediyorum,0,True
Almayın. Paranıza beklediğiniz zamana yazık,0,almayın paranıza beklediğiniz zamana yazık,0,True
ürün calismiyo hiç memnun kalmadım idae ediyorum,0,ürün calismiyo memnun kalmadım idae ediyorum,0,True
aldığımıza çok pişman olduk saat çok basit ve kullanışsız,0,aldığımıza pişman olduk saat basit kullanışsız,0,True
Aldık ama iptal ettik çünkü sürekli bağlantı koptu diyordu bağlanma sorunu yaşıyorduk tavsiye etmem,0,aldık iptal ettik sürekli bağlantı koptu diyordu bağlanma sorunu yaşıyorduk tavsiye etmem,0,True
İki tane aldım ürünler telefona bağlanmıyor hiç beyenmedim,0,iki tane aldım ürünler telefona bağlanmıyor beyenmedim,0,True
Ürünler istediğim gibi gelmedi şarjları tutmuyor iki tane aldım iade yaptım kabul edilmedi,0,ürünler istediğim gelmedi şarjları tutmuyor iki tane aldım iade yaptım kabul edilmedi,0,True
Ürün açılmıyor şarja taktım sarj olduğunu da göstermiyor hiç açılmıyor,0,ürün açılmıyor şarja taktım sarj olduğunu göstermiyor açılmıyor,0,True
Şarj marj hak getire aklı olan para vermesin buna,0,şarj marj hak getire aklı olan para vermesin buna,0,True
"Ürün tamami ile berbat, kesinlikle hiç kimseye tavsiye etmiyorum. Almayın arkadaşlar pranıza yazık..",0,ürün tamami berbat kesinlikle kimseye tavsiye etmiyorum almayın arkadaşlar pranıza yazık,0,True
arkadaşlar almayın aldım. çalışmıyordu geri yolladım bakalım ne olacak,0,arkadaşlar almayın aldım çalışmıyordu geri yolladım bakalım olacak,0,True
kemer baya kalitesiz ilk günden çit olan yeri kırıldı,0,kemer baya kalitesiz ilk günden çit olan yeri kırıldı,0,True
aldım ikinci gün su kaçtı 3.gün tamamen pert kesinlikle tavsiye etmiyorum,0,aldım ikinci gün su kaçtı 3gün tamamen pert kesinlikle tavsiye etmiyorum,0,True
ürün çok kötü kordona girmiyo koyarken kırıldı açılmıyo almayın alacaksanız m3 alin,0,ürün kötü kordona girmiyo koyarken kırıldı açılmıyo almayın alacaksanız m3 alin,0,True
Telefonunuza bağlanmıyor eğer m4 niyetine alıyorsanız vazgeçin dokunmatik değil,0,telefonunuza bağlanmıyor m4 niyetine alıyorsanız vazgeçin dokunmatik değil,0,True
Maalesef çalışmadı bende anlamadım geri göndereceğim,0,maalesef çalışmadı bende anlamadım geri göndereceğim,0,True
pembe renk diye bir seçenek yok kordon pembe geldi,0,pembe renk bir seçenek yok kordon pembe geldi,0,True
şarjı çok çabuk bitiyor bu yönünü beğenmedim,0,şarjı çabuk bitiyor yönünü beğenmedim,0,True
berbat sakin ama sakin almayın paranıza yazık.Dokunmatik.calismiyor telefona baglanmiyo,0,berbat sakin sakin almayın paranıza yazıkdokunmatikcalismiyor telefona baglanmiyo,0,True
cok kotu baglanti hemen kesiliyo kalori yanlis kesinlikle almayin derim,0,cok kotu baglanti hemen kesiliyo kalori yanlis kesinlikle almayin derim,0,True
"ürün telefona bağlanmıyor bile, cok kalitesiz",0,ürün telefona bağlanmıyor bile cok kalitesiz,0,True
Saati ayarlıyamıyoruz ne yapmamız gerek 2 tane saatçıya gösterdik anlamadı,0,saati ayarlıyamıyoruz yapmamız gerek 2 tane saatçıya gösterdik anlamadı,0,True
Çok kötü sakın almayın iade edemiyorum offfff,0,kötü sakın almayın iade edemiyorum offfff,0,True
buluta baglanmiyo. saatini ayarlayamadim sacma sapan bisey. iade etcem,0,buluta baglanmiyo saatini ayarlayamadim sacma sapan bisey iade etcem,0,True
"tavsiye etmiyorum , problem yaşayıp mağdur oluyosunuz. sinir",0,tavsiye etmiyorum problem yaşayıp mağdur oluyosunuz sinir,0,True
bağlantı sürekli kopuyor hiç memnun kalmadım:(,0,bağlantı sürekli kopuyor memnun kalmadım,0,True
Ürün açılmıyor. Sarj oluyor ancak açılmıyor.,0,ürün açılmıyor sarj oluyor ancak açılmıyor,0,True
Hiç iyi bir ürün değil ayarlamalarını yapamıyorsun saat tarih ayarlamıyorsunuz,0,iyi bir ürün değil ayarlamalarını yapamıyorsun saat tarih ayarlamıyorsunuz,0,True
daha iyi olabilirdi,0,iyi olabilirdi,0,True
boşa para sakın almayın,0,boşa para sakın almayın,0,True
BOZUK GELDİ ALMAYIN BOŞUNA iade edecem,0,bozuk geldi almayin boşuna iade edecem,0,True
Ben 2 adet aldım hiç memnun değilim,0,ben 2 adet aldım memnun değilim,0,True
Beğenmedim,0,beğenmedim,0,True
Uzun süreli kullanamadık bozuldu,0,uzun süreli kullanamadık bozuldu,0,True
pek beğenmedik ayarlayamadik bir türlü,0,pek beğenmedik ayarlayamadik bir türlü,0,True
Çabuk bozuluyor,0,çabuk bozuluyor,0,True
ürünü hiç açamadım bile,0,ürünü açamadım bile,0,True
siparişim gecikdi,0,siparişim gecikdi,0,True
Cok sevemedim,0,cok sevemedim,0,True
Şarjı çok çabuk bitiyor,0,şarjı çabuk bitiyor,0,True
Fiyatına göre iyi,1,fiyatına göre iyi,1,True
güzel beğendim,1,güzel beğendim,1,True
ürün bekledigim gibi degil tavsiye etmem,0,ürün bekledigim degil tavsiye etmem,0,True
bu fiyata pek bir şey beklemeyin.,0,fiyata pek bir beklemeyin,0,True
berbat ötesi almayin,0,berbat ötesi almayin,0,True
kurulum yapamıyorum,0,kurulum yapamıyorum,0,True
1ay sürmedi ekran görüntüsü gitti,0,1ay sürmedi ekran görüntüsü gitti,0,True
Yanlış ürün geldi resmen rezalet,0,yanlış ürün geldi resmen rezalet,0,True
bozuk cıktı,0,bozuk cıktı,0,True
urun bozuk,0,urun bozuk,0,True
Ürün açılmıyor bekledim gibi gelmedi,0,ürün açılmıyor bekledim gelmedi,0,True
çakma çikti o yüzde rezalet !,0,çakma çikti yüzde rezalet,0,True
saat resmen ama resmen yamuk geldi,0,saat resmen resmen yamuk geldi,0,True
bozuk ürün sakın almayın,0,bozuk ürün sakın almayın,0,True
Çok kullanışsız,0,kullanışsız,0,True
sakın almayın paranız yakın çok kötü,0,sakın almayın paranız yakın kötü,0,True
Çok çabuk bozuldu.,0,çabuk bozuldu,0,True
bozuk geldi cok kötü,0,bozuk geldi cok kötü,0,True
Bir yıldız bile fazla. Vasat bir saat,0,bir yıldız bile fazla vasat bir saat,0,True
Almayın! Bağlayamadım uygulamaya.,0,almayın bağlayamadım uygulamaya,0,True
Resmen büzük geldi,0,resmen büzük geldi,0,True
hiç memnun kalmadım,0,memnun kalmadım,0,True
ürünü kuramiyorum,0,ürünü kuramiyorum,0,True
Çabuk bozuldu,0,çabuk bozuldu,0,True
bozuk çıktı açamıyorum almayın çok kötü,0,bozuk çıktı açamıyorum almayın kötü,0,True
Almayın açılmıyo bile,0,almayın açılmıyo bile,0,True
berbat sakın almayın,0,berbat sakın almayın,0,True
şarjı çok hızlı bitiyo ve ayarlayamadim,0,şarjı hızlı bitiyo ayarlayamadim,0,True
2.ci el geldi kullanışsız almayin,0,2ci el geldi kullanışsız almayin,0,True
ürün rezalet almayın sakın tuzak.,0,ürün rezalet almayın sakın tuzak,0,True
Hiç kullanışlı değil,0,kullanışlı değil,1,False
her telefonda kurulumu olmuyor,0,telefonda kurulumu olmuyor,0,True
uyumsuz bi saat ve kalitesiz,0,uyumsuz bi saat kalitesiz,0,True
hiç iyi değil tavsiye etmem,0,iyi değil tavsiye etmem,0,True
ekranı açılmıyor almayın,0,ekranı açılmıyor almayın,0,True
Almayın aldırmayın,0,almayın aldırmayın,0,True
bence almayın ürün kötü çıktı,0,bence almayın ürün kötü çıktı,0,True
SAAT CALIŞMIYOR,0,saat calişmiyor,0,True
sakin almayin urun acilmadi bile,0,sakin almayin urun acilmadi bile,0,True
Asla telefona bağlanmıyor uygulama dahil,0,asla telefona bağlanmıyor uygulama dahil,0,True
ürün türkçeye çevrilmiyor,0,ürün türkçeye çevrilmiyor,0,True
Cok kötü almayin,0,cok kötü almayin,0,True
Degmez boş,0,degmez boş,0,True
Saat bozuk açılmıyor,0,saat bozuk açılmıyor,0,True
adim sayarı sayim yapmiyor,0,adim sayarı sayim yapmiyor,0,True
sakın almayın,0,sakın almayın,0,True
çok kötü kesinlikle tavsiye etmiyorum,0,kötü kesinlikle tavsiye etmiyorum,0,True
iki haftalık ömrü varmış,0,iki haftalık ömrü varmış,1,False
Hayal kırıklığı,0,hayal kırıklığı,0,True
çok kötü almayın,0,kötü almayın,0,True
verilen paraya yazık.,0,verilen paraya yazık,0,True
kullanissiz bence,0,kullanissiz bence,0,True
urunu telefona baglayamadim,0,urunu telefona baglayamadim,0,True
gelmedi çok pismanım,0,gelmedi pismanım,0,True
Çok kötü almayın,0,kötü almayın,0,True
Almayın!!!!,0,almayın,0,True
cok kotu pili calişdirmadan hemen bitiyo,0,cok kotu pili calişdirmadan hemen bitiyo,0,True
bunun yerine daha kaliteli almalisiniz,0,bunun yerine kaliteli almalisiniz,0,True
beş para etmez,0,beş para etmez,0,True
Berat salına satın almayin,0,berat salına satın almayin,0,True
tek kelime ile berbattı,0,tek kelime berbattı,0,True
rezalet boşa para kaybı,0,rezalet boşa para kaybı,0,True
sarj probkemi var o yuzden beyenmedim,0,sarj probkemi var yuzden beyenmedim,0,True
beklentimi karşılamadı,0,beklentimi karşılamadı,0,True
ürün gelmedi,0,ürün gelmedi,0,True
Merhaba benim ürünüm gözlük camı çizik geldi siz trendyoldan aldığım bilgiye göre kullanılmış ürün die bana iade göndermiyormuşsunuz geldiği günün ertesi günü kargoya verdim ve camı çizik gözlüğü nasıl kullanabilirim ayrıca bu kadar ucuz bir üründen kaliteli bir hareket zaten beklemezdim ancak Trendyol kalitesine güvenmiştim bana geri iade etseniz de teslim almayı düşünmüyorum lütfen yapılan hatayı en azından Trendyolla çalışa,0,merhaba benim ürünüm gözlük camı çizik geldi trendyoldan aldığım bilgiye göre kullanılmış ürün die bana iade göndermiyormuşsunuz geldiği günün ertesi günü kargoya verdim camı çizik gözlüğü kullanabilirim ayrıca kadar ucuz bir üründen kaliteli bir hareket zaten beklemezdim ancak trendyol kalitesine güvenmiştim bana geri iade etseniz teslim almayı düşünmüyorum lütfen yapılan hatayı azından trendyolla çalışa,0,True
Görselde gözüken gibi değildir Gözlük kutusu dandik kapatıldığında bile kapanmıyor iade edecektim sinirimden kırdım,0,görselde gözüken değildir gözlük kutusu dandik kapatıldığında bile kapanmıyor iade edecektim sinirimden kırdım,0,True
iyi günler ben sade siyah cam sipariş verdim yalnız renk farklı geldi bide küçük geldi .,0,iyi günler ben sade siyah cam sipariş verdim yalnız renk farklı geldi bide küçük geldi,0,True
ürün simsiyah gözüküyor ama bana gelen gözlük mordu gerçekten komik bir hata ayrıca alacaklar gözlüğün oyuncak kalitesinde olduğunu bilmesini isterim.İade edeceğim.,0,ürün simsiyah gözüküyor bana gelen gözlük mordu gerçekten komik bir hata ayrıca alacaklar gözlüğün oyuncak kalitesinde olduğunu bilmesini isterimiade edeceğim,0,True
Sakın almayınn sakınnn ..!!! Ekranda siyah görünen gözlük mor camlı geldi ürünün fotoğraftakiyle alakası yok.Çok pişmanım,0,sakın almayınn sakınnn ekranda siyah görünen gözlük mor camlı geldi ürünün fotoğraftakiyle alakası yokçok pişmanım,0,True
Sakın tercih etmeyin. İlk siparişte yanlış gözlük geldi sipariş verdigim ürünün fiyatının yarı yarıya olanından gönderdiler iade ettim tekrar bu gözlükten sipariş verdim. Ortalama bir ürün beklerken oyuncak gözlük kalitesinde geldi. Tekrar iade ettim ve kesinlikle bir daha bu firmadan bir ürün almayı düşünmüyorum. Tam bir hayal kırıklığı bu firma ile çalışmak trendyol için kalitenin düşmesi demek,0,sakın tercih etmeyin ilk siparişte yanlış gözlük geldi sipariş verdigim ürünün fiyatının yarı yarıya olanından gönderdiler iade ettim tekrar gözlükten sipariş verdim ortalama bir ürün beklerken oyuncak gözlük kalitesinde geldi tekrar iade ettim kesinlikle bir firmadan bir ürün almayı düşünmüyorum tam bir hayal kırıklığı firma çalışmak trendyol kalitenin düşmesi demek,0,True
Küçük bi ürün burnu büyük olanlar kesinlikle almasın ayrıca karton kutu içerisinde geliyor gözlük kutusu yok. ilk kullanımdan sonra farkettim gözlük yamuk arkadaşlar. Uğraşmak istemediğim için geri göndermedim asla tavsiye etmiyorum,0,küçük bi ürün burnu büyük olanlar kesinlikle almasın ayrıca karton kutu içerisinde geliyor gözlük kutusu yok ilk kullanımdan sonra farkettim gözlük yamuk arkadaşlar uğraşmak istemediğim geri göndermedim asla tavsiye etmiyorum,0,True
arkadaşlar ben de almak istedim sipariş verdim elime ulaşmasını bekledim 1 haftadan fazla bi süre sonra aradım derken birkaç gün önce iadeye düşmüş yani demem o ki kalkın gidin kargosu başka olan bi yerden alın agt kurye ??,0,arkadaşlar ben almak istedim sipariş verdim elime ulaşmasını bekledim 1 haftadan fazla bi süre sonra aradım derken gün önce iadeye düşmüş demem kalkın gidin kargosu başka olan bi yerden alın agt kurye,0,True
arkadaşımda Vardı hoşuma gitti Sipariş verdim ve kırık gönderildi o yyüzden hevesim kaçtı gözlük küçük Büyük kafalar tavsiyem değildir,0,arkadaşımda vardı hoşuma gitti sipariş verdim kırık gönderildi yyüzden hevesim kaçtı gözlük küçük büyük kafalar tavsiyem değildir,0,True
Çok kalitesiz bi ürün gözlük kutusu bile çok kötü,0,kalitesiz bi ürün gözlük kutusu bile kötü,0,True
Fiyat olarak aşırı iyi ama siyah bekler iken morumsu bişi geldi cam rengi,0,fiyat olarak aşırı iyi siyah bekler iken morumsu bişi geldi cam rengi,0,True
Fiyatına göre iki camda da birsür çizikli gelmesi normal :(,0,fiyatına göre iki camda birsür çizikli gelmesi normal,0,True
Göründüğü gibi değil tavsiye etmem,0,göründüğü değil tavsiye etmem,0,True
"Çerçeve kısmı fotoğrafta siyah, elime ulaşan üründe gümüş rengi. Bu görünüşü çok değiştiriyor. Kargo elime sipariş verdikten 21 gün sonra ulaştı.",0,çerçeve kısmı fotoğrafta siyah elime ulaşan üründe gümüş rengi görünüşü değiştiriyor kargo elime sipariş verdikten 21 gün sonra ulaştı,0,True
"Bu ne ya?? Kirik geldi , iade yapdim, 10 gun gecdi reddedildi!! Kargodan aldim acdim kirik oldu, 5 dk icinde iade yapdim, bana boyle bi sey yapdiniz! Lanet olsun! Cok kotu!",0,kirik geldi iade yapdim 10 gun gecdi reddedildi kargodan aldim acdim kirik oldu 5 dk icinde iade yapdim bana boyle bi sey yapdiniz lanet olsun cok kotu,0,True
buürünü geri teslim edmek istiyorum sürat kargoya ulaşamıyorum bana müşteri hizmetleri numarasını gönderebilirmsiniz bir de diğer siparişim gelmedi,0,buürünü geri teslim edmek istiyorum sürat kargoya ulaşamıyorum bana müşteri hizmetleri numarasını gönderebilirmsiniz bir diğer siparişim gelmedi,0,True
yanii çokta begenemedim ben adıktan sonra indirime düşmeside şanssızlık ama idare eder işde paketleme irenctiii.,0,yanii çokta begenemedim ben adıktan sonra indirime düşmeside şanssızlık idare eder işde paketleme irenctiii,0,True
"ürün profilinde camlar simsiyah görünüyor, fakat ürün elime geldiğinde ekranda fazla siyahlık olmadığını fark ettim, en yakın sürede geri iade yapıcam... ????",0,ürün profilinde camlar simsiyah görünüyor fakat ürün elime geldiğinde ekranda fazla siyahlık olmadığını fark ettim yakın sürede geri iade yapıcam,0,True
ürün göründüğü gibi değil kaliteside kötü fotoğraftaki gibi keşke olsaydı trendyolun böyle bir hata yapması üzücü,0,ürün göründüğü değil kaliteside kötü fotoğraftaki keşke olsaydı trendyolun böyle bir hata yapması üzücü,0,True
ürün fotograflarında siyah çerçeveli ama bize gelen gri çerçeve bu ne vurdumduymazlık 2 adet sipariş ettik tek temizleme bezi koymuşlar,0,ürün fotograflarında siyah çerçeveli bize gelen gri çerçeve vurdumduymazlık 2 adet sipariş ettik tek temizleme bezi koymuşlar,0,True
Sakın ha sakın almayınız böyle kalitesiz bir gözlük hayatımda görmedim. Camları bile çerçeveye tam oturmuyor boşluk kalıyor. Kalitesiz.,0,sakın ha sakın almayınız böyle kalitesiz bir gözlük hayatımda görmedim camları bile çerçeveye tam oturmuyor boşluk kalıyor kalitesiz,0,True
rengi siyah d çıkmadı ??,0,rengi siyah d çıkmadı,0,True
iki adet indirimden aldım paketleme berbat zaten dandik bespara etmeyen ürün bide korunaksiz paketlenmiş iyice yamulmus kesinlikle tavsiye etmiyorum,0,iki adet indirimden aldım paketleme berbat zaten dandik bespara etmeyen ürün bide korunaksiz paketlenmiş iyice yamulmus kesinlikle tavsiye etmiyorum,0,True
Oğluma aldim resimdekinden farklı ve çok kücük bir ürün geldi.Resimde tamamen siyah bir cam görüyoruz fakat gelen gözlükte siyahtan şeffafa geçen bir gradient cam geldi tavsiye etmiyorum.,0,oğluma aldim resimdekinden farklı kücük bir ürün geldiresimde tamamen siyah bir cam görüyoruz fakat gelen gözlükte siyahtan şeffafa geçen bir gradient cam geldi tavsiye etmiyorum,0,True
Ürünün iadesi kabul edilmedi ama hala geri elimizede ulaşmadı. Ürün geri elimize ulaşmasını bekliyoruz.,0,ürünün iadesi kabul edilmedi hala geri elimizede ulaşmadı ürün geri elimize ulaşmasını bekliyoruz,0,True
"Oyuncak bile olmaz, olamaz o derece dandik üstelik iade de kabul edilmedi yeniden satisa sunmaya uygun bulunmamis..",0,oyuncak bile olmaz olamaz derece dandik üstelik iade kabul edilmedi yeniden satisa sunmaya uygun bulunmamis,0,True
Cam rengi göründüğü gibi gelmedi.,0,cam rengi göründüğü gelmedi,0,True
resimdeki model gelmedi. yanlış ürün gönderildi . iade ettim. satıcıya herhangi bir şekilde nasıl ulaşılır bilemiyorum. tekrar sipariş verdüm yine yanlış ürün geldi.yine iade edicem ve bi daha almıyorum.,0,resimdeki model gelmedi yanlış ürün gönderildi iade ettim satıcıya herhangi bir şekilde ulaşılır bilemiyorum tekrar sipariş verdüm yine yanlış ürün geldiyine iade edicem bi almıyorum,0,True
ürün kesinlikle orjinal olamaz çok basit kullanılamayacak kadar alan kişilerin bunu göz önünde bulundurarak almasını tavsiye ederim,0,ürün kesinlikle orjinal olamaz basit kullanılamayacak kadar alan kişilerin bunu göz önünde bulundurarak almasını tavsiye ederim,0,True
"Gözlük kullanılabilir durumda değil çok küçük geldi,oyuncak gibiydi",0,gözlük kullanılabilir durumda değil küçük geldioyuncak gibiydi,0,True
Çok kalitesiz insan kandırmaca resmen dışarda satılan ucuz gözlüklerden bir farkı yok,0,kalitesiz insan kandırmaca resmen dışarda satılan ucuz gözlüklerden bir farkı yok,0,True
resmen karton kutunun içinde geldi ve gözlük yamuk iade edicem,0,resmen karton kutunun içinde geldi gözlük yamuk iade edicem,0,True
Ürün geldi aldım ertesi günü iki camıda çerçeveden çıktı geri iade ettim iade reddedildi reddedilme nedeni satışa uygun değil güven vermeyen bir firma trendyol konseptine yakışmıyor ürün çok kötü ürünün arkasında durmayan bir firma paramızla rezil olduk,0,ürün geldi aldım ertesi günü iki camıda çerçeveden çıktı geri iade ettim iade reddedildi reddedilme nedeni satışa uygun değil güven vermeyen bir firma trendyol konseptine yakışmıyor ürün kötü ürünün arkasında durmayan bir firma paramızla rezil olduk,0,True
Ürün göründüğü gibi küçük değil büyüktür arkadaşlar. Görünüşü iyi lakin denizaltı gözlüğü gibi büyük..,0,ürün göründüğü küçük değil büyüktür arkadaşlar görünüşü iyi lakin denizaltı gözlüğü büyük,0,True
Ürünnun fiyati kalitesine gore cok yuksek cok siradan bir cercevesi vardi ve resimdeki gozuken gibi yuvarlak cerceve degil koseli... İade,0,ürünnun fiyati kalitesine gore cok yuksek cok siradan bir cercevesi vardi resimdeki gozuken yuvarlak cerceve degil koseli iade,0,True
Biraz yamuk ve fiyatını haketmeyen bir ürün,0,biraz yamuk fiyatını haketmeyen bir ürün,0,True
küçük bir gözlük yüzümde hiç beklediğim gibi durmadı,0,küçük bir gözlük yüzümde beklediğim durmadı,0,True
Güneş karşıdan vurduğu zaman buğulu görünüyo hiç iyi değil almayın,0,güneş karşıdan vurduğu zaman buğulu görünüyo iyi değil almayın,0,True
beklediğim gibi gelmedi iyi ürün değil kalitesiz,0,beklediğim gelmedi iyi ürün değil kalitesiz,0,True
Çok dandirik duruyor sanki elinize alınca kırılacak gibi performansı fiyatı karşılamıyor ??,0,dandirik duruyor elinize alınca kırılacak performansı fiyatı karşılamıyor,0,True
resimdeki gibi camları yok mor geçişli bir rengi var ve çerçevesi farklı renk geldi. küçük duruyor bana pek kaliteli de gelmedi oyuncak gibi.,0,resimdeki camları yok mor geçişli bir rengi var çerçevesi farklı renk geldi küçük duruyor bana pek kaliteli gelmedi oyuncak,0,True
ürün göründüğü gibi geldi ama gözlük kabı yok orijinal ürün gibi gelmedi bana,0,ürün göründüğü geldi gözlük kabı yok orijinal ürün gelmedi bana,0,True
Ürünü beğenmedim kulak arkasına gelen kısım kısa sadece bayanlr için erkeklerin kulağının yarısında kalıyor ??,0,ürünü beğenmedim kulak arkasına gelen kısım kısa sadece bayanlr erkeklerin kulağının yarısında kalıyor,0,True
Göründüğü kadar koyu değil sefaf lacivert,0,göründüğü kadar koyu değil sefaf lacivert,0,True
Gözlük çok küçük çocuklar için alıyorsanız alın,0,gözlük küçük çocuklar alıyorsanız alın,0,True
benim sipariş ettiğim ürün gelmedi ucuz ettin yahnisi bukadar olur güvenmeyin boylerine,0,benim sipariş ettiğim ürün gelmedi ucuz ettin yahnisi bukadar olur güvenmeyin boylerine,0,True
Ürün çok kötü ve camın üstünde çizik vardı aynı zamanda çok kalitesiz,0,ürün kötü camın üstünde çizik vardı aynı zamanda kalitesiz,0,True
"İlk defa bir ürüne bu kadar kötü puan veriyorum. Çerçeveleri açarken her an elinize gelip kırılacak gibi çok kalitesiz, açarken de zorlanıyorsunuz kapatırken kapanmıyor. Küçük olacağını bekliyordum lakin çocuk gözlüğü olacak şekilde de beklemiyordum. Kesinlikle tavsiye etmiyorum. Paranıza yazık olur Çerçevesi kapanmayan bir gözlüğün camından bahsetmiyorum bile...",0,ilk bir ürüne kadar kötü puan veriyorum çerçeveleri açarken an elinize gelip kırılacak kalitesiz açarken zorlanıyorsunuz kapatırken kapanmıyor küçük olacağını bekliyordum lakin çocuk gözlüğü olacak şekilde beklemiyordum kesinlikle tavsiye etmiyorum paranıza yazık olur çerçevesi kapanmayan bir gözlüğün camından bahsetmiyorum bile,0,True
Tek fotoğraf var pek anlaşılmıyo ama fotoğraftaki gibi değil çok kötü iki çerçeve arası mesafe ve yanları kötü indirimdeyken almıştım allahtan yoksaki bu paraya değmez,0,tek fotoğraf var pek anlaşılmıyo fotoğraftaki değil kötü iki çerçeve arası mesafe yanları kötü indirimdeyken almıştım allahtan yoksaki paraya değmez,0,True
Resimde görünen ile alakası yok 1 ? bile fazla,0,resimde görünen alakası yok 1 bile fazla,0,True
Fiyat iyi ama ürün aynı gelmedi farklı bir gözlük yollandı.,0,fiyat iyi ürün aynı gelmedi farklı bir gözlük yollandı,0,True
"Göründüğü gibi gelmedi. Camları tam siyah değil mor gibi, sap rengi de beyaz ve çirkin duruyor. Beğenmedim",0,göründüğü gelmedi camları tam siyah değil mor sap rengi beyaz çirkin duruyor beğenmedim,0,True
benim gözlüğüm çizik bir şekilde geldi hiç memnun kalmadım,0,benim gözlüğüm çizik bir şekilde geldi memnun kalmadım,0,True
arkadaşlar aldım bir işe yaramıyor kimse almasın,0,arkadaşlar aldım bir işe yaramıyor kimse almasın,0,True
istedigim gözlük gelmedi ve gelen gözlükte yamuk geldi hiç beğenmedim,0,istedigim gözlük gelmedi gelen gözlükte yamuk geldi beğenmedim,0,True
Görselde ki gözlükle uzaktan yakından alakası yok kaynak gözlüğü göndermişler resmen,0,görselde gözlükle uzaktan yakından alakası yok kaynak gözlüğü göndermişler resmen,0,True
"Fotoğraftakinden baya farklı geldi kaliteli durmuyor, kamyoncu gözlüğü gibi",0,fotoğraftakinden baya farklı geldi kaliteli durmuyor kamyoncu gözlüğü,0,True
yanlış ürün geldi ve her an kör olabilirsiniz almanızı önermem.,0,yanlış ürün geldi an kör olabilirsiniz almanızı önermem,0,True
görseldeki gibi değil pişman oldum:/ neden görseldeki urun gelmez :/,0,görseldeki değil pişman oldum görseldeki urun gelmez,0,True
